threshold,precision,recall,f1
0.055659702685725,0.21218074656188604,0.47577092511013214,0.2934782608695652
0.0557085490114416,0.21226415094339623,0.47577092511013214,0.29355803207393316
0.055709164021534,0.21234762092017304,0.47577092511013214,0.2936378466557912
0.055781942653944,0.21243115656963021,0.47577092511013214,0.2937177046505303
0.0557951434347921,0.21251475796930341,0.47577092511013214,0.29379760609357997
0.0558263018803888,0.2125984251968504,0.47577092511013214,0.29387755102040813
0.0558779386577083,0.21228830248129185,0.4748898678414097,0.2934131736526946
0.055898479183542,0.2123719464144996,0.4748898678414097,0.2934930574462293
0.055913403690411,0.2124556562869531,0.4748898678414097,0.2935729847494553
0.0559424420402177,0.21214511041009465,0.47400881057268723,0.2931081449196405
0.0559652811475144,0.21222879684418147,0.47400881057268723,0.29318801089918256
0.0560372510615548,0.2123125493291239,0.47400881057268723,0.2932679204142818
0.0560548031534065,0.21239636794315042,0.47400881057268723,0.29334787350054525
0.0560712711519437,0.21248025276461296,0.47400881057268723,0.29342787019361877
0.0560929759144378,0.21256420387198735,0.47400881057268723,0.2935079105291871
0.0561131210151607,0.2126482213438735,0.47400881057268723,0.2935879945429741
0.0561314891884015,0.21273230525899564,0.47400881057268723,0.29366812227074235
0.0561649719220824,0.21281645569620253,0.47400881057268723,0.29374829374829375
0.0562351129904063,0.21290067273446775,0.47400881057268723,0.2938285090114692
0.0562676115286285,0.21298495645288995,0.47400881057268723,0.2939087680961486
0.0562952363461001,0.21306930693069306,0.47400881057268723,0.2939890710382514
0.0563358695207554,0.21315372424722662,0.47400881057268723,0.29406941787373597
0.0563957648669392,0.21284185493460167,0.4731277533039648,0.29360306178239476
0.0564425123724636,0.21292624900872323,0.4731277533039648,0.29368334700574245
0.0564728922258992,0.21301071003570013,0.4731277533039648,0.29376367614879656
0.0564885435231119,0.2130952380952381,0.4731277533039648,0.29384404924760604
0.056496842335756,0.21317983326716952,0.4731277533039648,0.2939244663382594
0.0565148809439752,0.21326449563145353,0.4731277533039648,0.2940049274568847
0.0565273328444518,0.2133492252681764,0.4731277533039648,0.2940854326396495
0.0565682991228277,0.21343402225755168,0.4731277533039648,0.2941659819227609
0.0565836015004132,0.21312127236580516,0.4722466960352423,0.29369863013698627
0.056669041295319,0.21320604614160701,0.4722466960352423,0.2937791175664566
0.0566838978004956,0.2132908873855949,0.4722466960352423,0.29385964912280704
0.0566973543006115,0.21337579617834396,0.4722466960352423,0.2939402248423361
0.0566983731051175,0.21346077260055754,0.4722466960352423,0.29402084476138235
0.0567038921536492,0.21354581673306772,0.4722466960352423,0.29410150891632375
0.0567239521743085,0.2136309286568354,0.4722466960352423,0.29418221734357847
0.0567414789996507,0.21371610845295055,0.4722466960352423,0.2942629700796047
0.0567473047485669,0.21380135620263263,0.4722466960352423,0.2943437671609006
0.0567635261052138,0.21388667198723066,0.4722466960352423,0.2944246086240044
0.0567653073596342,0.21397205588822354,0.4722466960352423,0.2945054945054945
0.0567850594247363,0.21405750798722045,0.4722466960352423,0.29458642484198955
0.0568432924091139,0.21414302836596086,0.4722466960352423,0.29466739967014843
0.0568521711352198,0.21422861710631494,0.4722466960352423,0.2947484190266703
0.0568633223741459,0.21431427429028388,0.4722466960352423,0.2948294829482948
0.0569000594012918,0.2144,0.4722466960352423,0.29491059147180193
0.0569309555854398,0.2144857943177271,0.4722466960352423,0.2949917446340121
0.0569332266802189,0.2145716573258607,0.4722466960352423,0.2950729424717864
0.05696236450718,0.2146575891069283,0.4722466960352423,0.2951541850220264
0.0569698279674618,0.21474358974358973,0.4722466960352423,0.29523547232167446
0.0570452929494347,0.21442885771543085,0.4713656387665198,0.2947658402203857
0.0570570743122828,0.2145148356054531,0.4713656387665198,0.29484706530724725
0.0570956047247862,0.21460088247091857,0.4713656387665198,0.29492833517089306
0.0570968404749732,0.21468699839486358,0.4713656387665198,0.29500964984835953
0.0571210222812053,0.21477318346045765,0.4713656387665198,0.29509100937672367
0.0571374994974372,0.21485943775100402,0.4713656387665198,0.29517241379310344
0.0571923084511203,0.21494576134993973,0.4713656387665198,0.29525386313465785
0.0572150028741633,0.21463022508038584,0.47048458149779737,0.2947833287330941
0.0572830727223311,0.2147165259348613,0.47048458149779737,0.29486471562672556
0.0573203662644522,0.21480289621882542,0.47048458149779737,0.29494614747307374
0.0573207183827388,0.21488933601609658,0.47048458149779737,0.2950276243093922
0.0573224372555779,0.21497584541062803,0.47048458149779737,0.29510914617297596
0.0573357858466716,0.21506242448650825,0.47048458149779737,0.29519071310116085
0.0573660095025486,0.21514907332796132,0.47048458149779737,0.2952723251313243
0.057384196549107,0.21523579201934703,0.47048458149779737,0.29535398230088494
0.0573845285331153,0.2153225806451613,0.47048458149779737,0.2954356846473029
0.0573940064971487,0.2154094392900363,0.47048458149779737,0.2955174322080797
0.0573996892449614,0.21549636803874092,0.47048458149779737,0.29559922502075836
0.0574266190590749,0.21558336697618086,0.47048458149779737,0.2956810631229236
0.0574365774115097,0.2152665589660743,0.46960352422907486,0.29520908335641094
0.0574570460345128,0.21494949494949495,0.4687224669603524,0.2947368421052632
0.057467128244649,0.21503637833468067,0.4687224669603524,0.2948185092823497
0.0575177487659055,0.21512333198544278,0.4687224669603524,0.29490022172949
0.0575232086214601,0.215210355987055,0.4687224669603524,0.294981979484336
0.0575870722233634,0.21529745042492918,0.4687224669603524,0.29506378258458127
0.0577046239899956,0.2153846153846154,0.4687224669603524,0.29514563106796116
0.0577730873639109,0.21547185095180235,0.4687224669603524,0.2952275249722531
0.0578058897065991,0.21555915721231766,0.4687224669603524,0.2953094643352761
0.0578071964024284,0.2156465342521281,0.4687224669603524,0.2953914491948917
0.057808557898484,0.21573398215733983,0.4687224669603524,0.2954734795890031
0.0578249208747189,0.21582150101419878,0.4687224669603524,0.2955555555555555
0.0579407321951988,0.21550324675324675,0.46784140969162996,0.29508196721311475
0.0579502942156154,0.21559074299634592,0.46784140969162996,0.2951639799888827
0.0579751639444988,0.21567831031681559,0.46784140969162996,0.29524603836530444
0.0579946340283,0.2157659488013003,0.46784140969162996,0.29532814238042265
0.0580464141836501,0.21585365853658536,0.46784140969162996,0.29541029207232267
0.0581349552297951,0.21594143960959739,0.46784140969162996,0.29549248747913187
0.0581949967150413,0.2160292921074044,0.46784140969162996,0.2955747286390203
0.0581956596662646,0.21611721611721613,0.46784140969162996,0.29565701559020047
0.0582000609731623,0.21579804560260588,0.4669603524229075,0.2951824004455583
0.0582403243184494,0.2158859470468432,0.4669603524229075,0.2952646239554318
0.0582914190813022,0.21597392013039934,0.4669603524229075,0.2953468932850376
0.0583449646613985,0.2160619649408887,0.4669603524229075,0.2954292084726868
